Change Physical Footprint: Designator=1 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=TP8 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP9 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP10 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP11 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP12 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP13 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP14 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP15 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP16 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP17 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP18 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP19 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP20 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP21 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP22 Old Footprint=TESTPOINT New Footprint=TESTPOINT
Change Physical Footprint: Designator=TP23 Old Footprint=TESTPOINT New Footprint=TESTPOINT
Change Physical Footprint: Designator=U1 Old Footprint=LTC2875 New Footprint=LTC2875
Change Physical Footprint: Designator=U2 Old Footprint=STM_LQFP64_N New Footprint=STM_LQFP64_N
Change Physical Footprint: Designator=U3 Old Footprint=CA3140AMZ New Footprint=CA3140AMZ
Change Physical Footprint: Designator=U4 Old Footprint=TL081BCDG4 New Footprint=TL081BCDG4
Change Physical Footprint: Designator=U5 Old Footprint=SOT23-6 New Footprint=SOT23-6
Change Physical Footprint: Designator=ULTRA Old Footprint=JST-B4B-SM4-TB New Footprint=JST-B4B-SM4-TB
Change Physical Footprint: Designator=VR1 Old Footprint=VOLTAGE_REGULATOR New Footprint=VOLTAGE_REGULATOR
Change Physical Footprint: Designator=Y1 Old Footprint=AVX-CX2520DB32000D0GEJZ1-4_V New Footprint=AVX-CX2520DB32000D0GEJZ1-4_V
