"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","BANDWIDTH","CASE/PACKAGE","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","CURRENT OUTPUT","DIGIKEY PART NUMBER","DIMENSIONS","FORWARD VOLTAGE DROP","HIGH LEVEL OUTPUT CURRENT","INTERFACE","LEAD FREE","LOGIC FUNCTION","LOW LEVEL OUTPUT CURRENT","MANUFACTURER","MANUFACTURER PART NUMBER","MAX OPERATING TEMPERATURE","MAX OUTPUT CURRENT","MAX POWER DISSIPATION","MAX SUPPLY VOLTAGE","MIN OPERATING TEMPERATURE","MIN SUPPLY VOLTAGE","MOUNT","MPN","NUMBER OF BITS","NUMBER OF CHANNELS","NUMBER OF CIRCUITS","NUMBER OF ELEMENTS","NUMBER OF GATES","NUMBER OF INPUT LINES","NUMBER OF INPUTS","NUMBER OF OUTPUT LINES","NUMBER OF OUTPUTS","NUMBER OF PINS","ON-STATE RESISTANCE","OPERATING SUPPLY CURRENT","OUTPUT CURRENT","PACKAGE","PACKAGE QUANTITY","PACKAGING","PART NUMBER","PART NUMBER (MPN)","POWER DISSIPATION","PRICING 1","PROPAGATION DELAY","QUIESCENT CURRENT","RADIATION HARDENING","REACH SVHC","STOCK 1","SUPPLIER 1","SUPPLIER PART NUMBER 1","SUPPLY TYPE","TEMPERATURE COEFFICIENT","TERMINATION","TOLERANCE","TURN-OFF DELAY TIME","TURN-ON DELAY TIME","VALUE","VOLTAGE RATING","WEIGHT","SHEETPART","DESIGNATOR","DESCRIPTION"
"Component_1","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"DFR0198_TEMP_SENSOR","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"DIO_BAS16GW","DIODSOD-123","","","","","","","0","Datasheet","https://assets.nexperia.com/documents/data-sheet/BAS16GW.pdf","","","","","","","","","","1727-7320-1-ND","","","","","","","","Nexperia","","","","","","","","","BAS16GW","","","","","","","","","","","","","","SOD-123","","","","","","","","","","","","Digi-Key","1727-7320-1-ND","","","","","","","","","","","D?","ESD PROTECTION DIODE"
"DIO_LED_G","LED_0805_LINE","","","","","","","","","","","","","","","","","","","475-1410-1-ND","","2.2V","","","","","","OSRAM","","","","","","","","","LG R971-KN-1","","","","","","","","","","","","","","0805 (2012 Metric)","","","","","","","","","","","","","","","","","","","","","","","","D?","LED GREEN DIFFUSED 0805 SMD"
"DIO_LED_R","LED_0805_LINE","","","","","","","","","","","","","","","","","","","475-1278-1-ND","","2V","","","","","","OSRAM","","","","","","","","","LS R976-NR-1","","","","","","","","","","","","","","0805 (2012 Metric)","","","","","","","","","","","","","","","","","","","","","","","","D?","LED RED DIFFUSED 0805 SMD"
"DIO_LED_Y","LED_0805_LINE","","","","","","","","","","","","","","","","","","","475-2560-1-ND","","2.2V","","","","","","OSRAM","","","","","","","","","LY R976-PS-36","","","","","","","","","","","","","","0805 (2012 Metric)","","","","","","","","","","","","","","","","","","","","","","","","D?","LED YELLOW DIFFUSED 0805 SMD"
"FUSE-5A","FUSE","","","","","","","FUSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F?","FUSE HOLDER RADIAL 250V 6.3A PCB"
"HEADER 4X2","HEADER_2X4","","","","","","","","","","","","","","","","","","","S9015E-04-ND","","","","","","","","Sullins Connector Solutions","","","","","","","","","GRPB042VWVN-RC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P?","Header, 4-Pin Dual row"
"IC ADC","","","","","","","","*","","","","","","","","","","","","ADC081C021CIMM/NOPBCT-ND","","","","","","","","Texas Instruments","","","","","","","","","ADC081C021CIMM/NOPB","","","","","","","","","","","","","","8-TSSOP, 8-MSOP (0.118", 3.00mm Width)","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC ADC 8BIT I2C 188KSPS"
"IC GATE XOR","SOT23-5","","","","","","SOT-23","SN74AHC1G02DBVT","http://www.ti.com/lit/ds/symlink/sn74ahc1g02.pdf?src-supplier=Digi-Key","http://www.ti.com/lit/ds/symlink/sn74ahc1g02.pdf?src-supplier=Digi-Key","http://focus.ti.com/lit/ds/symlink/sn74ahc1g02.pdf?src-supplier=Avnet+Europe","http://focus.ti.com/lit/ds/symlink/sn74ahc1g02.pdf?src-supplier=Avnet+Europe","http://www.farnell.com/datasheets/1786933.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/1786933.pdf?src-supplier=Element14","","","","","","","","","-8mA","","Lead Free","NOR","8mA","Texas Instruments","SN74AHC1G02DBVT","125°C","8mA","","5.5V","-40°C","2V","Surface Mount","","1","","1","1","1","2","2","1","1","5","","","8mA","","250","Tape and Reel","","","","","7.5ns","1uA","No","No SVHC","","Digi-Key","296-1094-1-ND","","","SMD/SMT","","","8.5ns","","","0.000557oz","*","U?","SN74AHC1G02DBVT"
"IC MUX/DEMUX 2x1","IC MUX/DEMUX","","","","","300MHz","TSSOP","74LVC1G3157GW,125","http://www.nxp.com/documents/data_sheet/74LVC1G3157.pdf?src-supplier=Avnet","http://www.nxp.com/documents/data_sheet/74LVC1G3157.pdf?src-supplier=Avnet","https://www.verical.com/server-webapp/html/getDatasheet?partID=347929&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=347929&src-supplier=Verical","http://www.nxp.com/documents/data_sheet/74LVC1G3157.pdf?src-supplier=Avnet+Asia","http://www.nxp.com/documents/data_sheet/74LVC1G3157.pdf?src-supplier=Avnet+Asia","http://www.nxp.com/documents/data_sheet/74LVC1G3157.pdf?src-supplier=Digi-Key","http://www.nxp.com/documents/data_sheet/74LVC1G3157.pdf?src-supplier=Digi-Key","http://www.nxp.com/documents/data_sheet/74LVC1G3157.pdf?src-supplier=Avnet+Europe","http://www.nxp.com/documents/data_sheet/74LVC1G3157.pdf?src-supplier=Avnet+Europe","","","","","","","Lead Free","Demultiplexer,Demux,Multiplexer,Mux","","NXP Semiconductors","74LVC1G3157GW,125","125°C","","250mW","5.5V","-40°C","1.65V","Surface Mount","","","1","1","","","","2","","1","6","15R","40uA","","","3000","Tape and Reel","","","250mW","1=0.37, 10=0.276, 100=0.156, 500=0.10332, 1000=0.07921 (USD)","1ns","","No","No SVHC","109219","Digi-Key","1727-6073-6-ND","Single","","","","6ns","8.7ns","","","","*","?","74LVC1G3157GW,125"
"IC Motor Driver","VFQFPN-24_N","","","","","","VQFN","DRV8701ERGET","","","","","","","","","","","","","","","","Parallel","Lead Free","","","Texas Instruments","DRV8701ERGET","125°C","","","","-40°C","","Surface Mount","","","","","","","","","","","","","","","","","Tape and Reel","","","","1=2.83, 10=2.541, 100=2.0425 (USD)","","","","","17098","Digi-Key","296-42155-1-ND","","","","","","","","","","*","U?","DRV8701ERGET"
"JUMPER_2","HDR1X2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","J?","HEADER 2X1"
"LM2776","SOT23-6","","","","","","","*","","","","","","","","","","","","296-43957-1-ND","","","","","","","","Texas Instruments","","","","","","","","","LM2776DBVR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","LM2776 Switched Capacitor Inverter"
"LTC2875","LTC2875","LT-S8_N","","","","","","IC TXRX CAN","Datasheet","https://www.analog.com/media/en/technical-documentation/data-sheets/2875f.pdf","","","","","","","","","","LTC2875IS8#PBF-ND","","","","","","","","Linear Technologies","","","","","","","","","LTC2875IS8#PBF","","","","","","","","","","","","","","8-SOIC (0.154", 3.90mm Width)","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC TXRX CAN 4MBPS 8SO"
"MOUNTING_HOLES","MOUNTING_HOLE","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*","6cm x 6cm"
"NMOS_20V_6A","E3","","","","","","","","Datasheet","http://aosmd.com/res/data_sheets/AO3420.pdf","","","","","","","","","","785-1014-1-ND","","","","","","","","Alpha & Omega","","","","","","","","","AO3420","","","","","","","","","","","","","","TO-236-3, SC-59, SOT-23-3","","","","","","","","","","","","","","","","","","","","","","","","Q?","MOSFET N-CH 20V 6A SOT23"
"NMOS_40V_75A","SOT404","","","","","","","","Datasheet","http://aosmd.com/res/data_sheets/AO3420.pdf","","","","","","","","","","1727-7257-1-ND","","","","","","","","Nexperia USA Inc.","","","","","","","","","BUK768R1-40E,118","","","","","","","","","","","","","","TO-263-3, D²Pak (2 Leads + Tab), TO-263AB","","","","","","","","","","","","Digi-Key","1727-7255-1-ND","","","","","","","","","","","Q?","MOSFET N-CH 40V 75A D2PAK"
"NMOS_60V_360mA","E3","","","","","","","0","Datasheet","http://aosmd.com/res/data_sheets/AO3420.pdf","","","","","","","","","","1727-4692-1-ND","","","","","","","","Nexperia USA Inc.","","","","","","","","","","","","","","","","","","","","","","","TO-236-3, SC-59, SOT-23-3","","","2N7002P,215","","","","","","","","","","","","","","","","","","","","","Q?","MOSFET N-CH 60V 0.36A SOT-23"
"NPN","TO-226-AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Q?",""
"NPN_40V_100mA","SOT23-3","","","","","","","","Datasheet","http://www.mccsemi.com/up_pdf/MMBT3904(SOT-23).pdf","","","","","","","","","","MMBT3904TPMSCT-ND","","","","","","","","Micro Commercial Co","","","","","","","","","MMBT3904-TP","","","","","","","","","","","","","","TO-236-3, SC-59, SOT-23-3","","","","","","","","","","","","","","","","","","","","","","","","Q?","TRANS NPN 40V 0.2A SOT23"
"NTC_THERM_100K","RESC0603(1608)_N","","","","","","","*","","","","","","","","","","","","P10555CT-ND","","","","","","","","Panasonic","","","","","","","","","ERT-J1VV104J","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100K","","","*","*","THERM NTC 100KOHM 4700K 0603"
"OSC_2kHz","CDFN-4","","","","","","","2kHz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","DSC6083CI2A-002K000-ND","","","","","","","","","","*","Y?","OSCILLATOR_2kHz"
"PMOS_100V_22A","ONSC-TO-263-2L_N","","","","","","","","Datasheet","https://www.onsemi.com/pub/Collateral/FQB22P10TM_F085-D.PDF","","","","","","","","","","FQB22P10TMCT-ND","","","","","","","","ON Semiconductor","","","","","","","","","FQB22P10TM","","","","","","","","","","","","","","D2PAK (TO-263AB)","","","","","","","","","","","","","","","","","","","","","","","","Q?","MOSFET P-CH 100V 22A D2PAK"
"POT_5K","3362P-1-502LF","","","","","","","","","","","","","","","","","","","3362P-502LF-ND","0.275" x 0.260" Face x 0.185" H (6.99mm x 6.60mm x 4.70mm)","","","","","","","Bourns Inc.","","","","","","","","","3362P-1-502LF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10%","","","5K","","","","R?","TRIMMER 5K OHM 0.5W PC PIN TOP"
